Input,Coverage,Assembler,Polisher,Id,Isolet,Organism,Genome-type,Gene-number,Pomoxis-version,Mean-accuracy,Median-accuracy,Mean-deletion,Median-deletion,Mean-insertion,Median-insertion,Mean-idenity,Median-idenity,Isolet-coverage
voltrax--100x-flye-medaka--01-polished.fasta,100,flye,medaka,01,all,all,all,all,NA,38.17,46.99,42.10,inf,42.39,50.00,44.83,inf,NA
voltrax--100x-flye-medaka--01-polished.fasta,100,flye,medaka,01,Bacillus-subtilis-chromosome,Bacillus subtilis,chromosome,NA,NA,40.71,45.23,53.05,inf,42.88,46.99,45.45,50.00,99.774
voltrax--100x-flye-medaka--01-polished.fasta,100,flye,medaka,01,Enterococcus-faecalis-chromosome,Enterococcus faecalis,chromosome,NA,NA,40.76,45.23,45.80,inf,46.04,46.99,44.85,inf,98.877
voltrax--100x-flye-medaka--01-polished.fasta,100,flye,medaka,01,Escherichia-coli-chromosome,Escherichia coli,chromosome,NA,NA,35.65,42.22,36.75,43.98,44.87,50.00,45.47,inf,99.852
voltrax--100x-flye-medaka--01-polished.fasta,100,flye,medaka,01,Listeria-monocytogenes-chromosome,Listeria monocytogenes,chromosome,NA,NA,33.01,50.00,48.94,inf,35.11,inf,37.47,inf,99.447
voltrax--100x-flye-medaka--01-polished.fasta,100,flye,medaka,01,Pseudomonas-aeruginosa-chromosome,Pseudomonas aeruginosa,chromosome,NA,NA,39.17,50.00,40.45,inf,45.89,53.01,52.86,inf,99.512
voltrax--100x-flye-medaka--01-polished.fasta,100,flye,medaka,01,Salmonella-enterica-chromosome,Salmonella enterica,chromosome,NA,NA,47.19,50.00,52.93,inf,50.10,inf,53.72,inf,98.908
voltrax--100x-flye-medaka--01-polished.fasta,100,flye,medaka,01,Staphylococcus-aureus-chromosome,Staphylococcus aureus,chromosome,NA,NA,43.89,50.00,57.35,inf,44.85,inf,52.04,inf,99.922
voltrax--100x-flye-medaka--02-polished.fasta,100,flye,medaka,02,all,all,all,all,NA,32.77,46.99,34.70,inf,39.06,50.00,41.86,inf,NA
voltrax--100x-flye-medaka--02-polished.fasta,100,flye,medaka,02,Bacillus-subtilis-chromosome,Bacillus subtilis,chromosome,NA,NA,40.89,46.99,53.05,inf,42.94,46.99,45.89,inf,99.774
voltrax--100x-flye-medaka--02-polished.fasta,100,flye,medaka,02,Enterococcus-faecalis-chromosome,Enterococcus faecalis,chromosome,NA,NA,40.89,45.23,45.70,inf,46.18,46.99,45.16,50.00,99.265
voltrax--100x-flye-medaka--02-polished.fasta,100,flye,medaka,02,Escherichia-coli-chromosome,Escherichia coli,chromosome,NA,NA,29.54,43.01,30.55,46.99,38.45,50.00,40.56,inf,99.473
voltrax--100x-flye-medaka--02-polished.fasta,100,flye,medaka,02,Listeria-monocytogenes-chromosome,Listeria monocytogenes,chromosome,NA,NA,31.71,50.00,39.29,inf,34.66,inf,36.67,inf,99.987
