Input,Coverage,Assembler,Polisher,Id,Isolet,Organism,Genome-type,Gene-number,Pomoxis-version,Mean-accuracy,Median-accuracy,Mean-deletion,Median-deletion,Mean-insertion,Median-insertion,Mean-idenity,Median-idenity,Isolet-coverage
voltrax--100x-flye-medaka--01-polished.fasta,100,flye,medaka,01,all,all,all,all,NA,18.72,inf,19.32,inf,29.77,inf,31.64,inf,NA
voltrax--100x-flye-medaka--01-polished.fasta,100,flye,medaka,01,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,18.28,inf,18.87,inf,29.32,inf,31.19,inf,77.666
voltrax--100x-flye-medaka--01-polished.fasta,100,flye,medaka,01,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,38.02,38.02,38.02,38.02,inf,inf,inf,inf,100.000
voltrax--100x-flye-medaka--01-polished.fasta,100,flye,medaka,01,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
voltrax--100x-flye-medaka--01-polished.fasta,100,flye,medaka,01,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-flye-medaka--02-polished.fasta,100,flye,medaka,02,all,all,all,all,NA,13.99,inf,14.53,inf,26.14,inf,26.08,inf,NA
voltrax--100x-flye-medaka--02-polished.fasta,100,flye,medaka,02,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,12.03,inf,12.56,inf,24.17,inf,24.11,inf,17.105
voltrax--100x-flye-medaka--02-polished.fasta,100,flye,medaka,02,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,inf,inf,inf,inf,inf,inf,inf,inf,87.770
voltrax--100x-flye-medaka--02-polished.fasta,100,flye,medaka,02,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
voltrax--100x-flye-medaka--02-polished.fasta,100,flye,medaka,02,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
voltrax--100x-flye-medaka--03-polished.fasta,100,flye,medaka,03,all,all,all,all,NA,18.48,33.86,19.07,33.86,29.60,inf,31.47,inf,NA
voltrax--100x-flye-medaka--03-polished.fasta,100,flye,medaka,03,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,18.07,24.18,18.65,24.18,29.18,inf,31.05,inf,75.333
voltrax--100x-flye-medaka--03-polished.fasta,100,flye,medaka,03,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
voltrax--100x-flye-medaka--03-polished.fasta,100,flye,medaka,03,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,66.154
voltrax--100x-flye-medaka--03-polished.fasta,100,flye,medaka,03,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-flye-medaka--04-polished.fasta,100,flye,medaka,04,all,all,all,all,NA,19.07,inf,19.63,inf,30.39,inf,32.27,inf,NA
voltrax--100x-flye-medaka--04-polished.fasta,100,flye,medaka,04,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,18.67,26.19,19.23,26.19,29.99,inf,31.88,inf,95.205
voltrax--100x-flye-medaka--04-polished.fasta,100,flye,medaka,04,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,inf,inf,inf,inf,inf,inf,inf,inf,76.377
voltrax--100x-flye-medaka--04-polished.fasta,100,flye,medaka,04,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
voltrax--100x-flye-medaka--04-polished.fasta,100,flye,medaka,04,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,99.599
voltrax--100x-flye-medaka--05-polished.fasta,100,flye,medaka,05,all,all,all,all,NA,18.67,37.51,19.48,37.87,27.61,inf,32.14,inf,NA
voltrax--100x-flye-medaka--05-polished.fasta,100,flye,medaka,05,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,18.34,23.39,19.15,23.39,27.29,inf,31.81,inf,90.995
voltrax--100x-flye-medaka--05-polished.fasta,100,flye,medaka,05,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,inf,inf,inf,inf,inf,inf,inf,inf,63.216
voltrax--100x-flye-medaka--05-polished.fasta,100,flye,medaka,05,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,inf,inf,inf,inf,inf,inf,inf,inf,95.217
voltrax--100x-flye-medaka--05-polished.fasta,100,flye,medaka,05,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,56.632
voltrax--100x-flye-medaka--06-polished.fasta,100,flye,medaka,06,all,all,all,all,NA,18.55,inf,19.14,inf,29.62,inf,31.54,inf,NA
voltrax--100x-flye-medaka--06-polished.fasta,100,flye,medaka,06,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,18.02,26.72,18.60,26.74,29.09,inf,31.01,inf,74.513
voltrax--100x-flye-medaka--06-polished.fasta,100,flye,medaka,06,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,inf,inf,inf,inf,inf,inf,inf,inf,87.186
voltrax--100x-flye-medaka--06-polished.fasta,100,flye,medaka,06,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,inf,inf,inf,inf,inf,inf,inf,inf,95.939
voltrax--100x-flye-medaka--06-polished.fasta,100,flye,medaka,06,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
voltrax--100x-flye-medaka--07-polished.fasta,100,flye,medaka,07,all,all,all,all,NA,18.47,inf,19.07,inf,29.46,inf,31.37,inf,NA
voltrax--100x-flye-medaka--07-polished.fasta,100,flye,medaka,07,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,17.95,inf,18.55,inf,28.98,inf,30.85,inf,71.912
voltrax--100x-flye-medaka--07-polished.fasta,100,flye,medaka,07,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,37.12,37.12,inf,inf,37.12,37.12,inf,inf,81.221
voltrax--100x-flye-medaka--07-polished.fasta,100,flye,medaka,07,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,inf,inf,inf,inf,inf,inf,inf,inf,86.958
voltrax--100x-flye-medaka--07-polished.fasta,100,flye,medaka,07,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
voltrax--100x-flye-medaka--08-polished.fasta,100,flye,medaka,08,all,all,all,all,NA,18.86,inf,19.45,inf,29.98,inf,31.82,inf,NA
voltrax--100x-flye-medaka--08-polished.fasta,100,flye,medaka,08,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,18.37,37.43,18.95,37.43,29.53,inf,31.33,inf,83.974
voltrax--100x-flye-medaka--08-polished.fasta,100,flye,medaka,08,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,37.95,37.95,inf,inf,37.95,37.95,inf,inf,98.517
voltrax--100x-flye-medaka--08-polished.fasta,100,flye,medaka,08,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,inf,inf,inf,inf,inf,inf,inf,inf,84.477
voltrax--100x-flye-medaka--08-polished.fasta,100,flye,medaka,08,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
voltrax--100x-flye-medaka--09-polished.fasta,100,flye,medaka,09,all,all,all,all,NA,18.68,inf,19.26,inf,29.84,inf,31.64,inf,NA
voltrax--100x-flye-medaka--09-polished.fasta,100,flye,medaka,09,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,18.26,37.26,18.84,37.26,29.41,inf,31.22,inf,81.791
voltrax--100x-flye-medaka--09-polished.fasta,100,flye,medaka,09,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,inf,inf,inf,inf,inf,inf,inf,inf,98.438
voltrax--100x-flye-medaka--09-polished.fasta,100,flye,medaka,09,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
voltrax--100x-flye-medaka--09-polished.fasta,100,flye,medaka,09,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-flye-medaka--10-polished.fasta,100,flye,medaka,10,all,all,all,all,NA,19.85,inf,20.41,inf,31.19,inf,33.08,inf,NA
voltrax--100x-flye-medaka--10-polished.fasta,100,flye,medaka,10,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,19.59,39.39,20.15,39.39,30.93,inf,32.82,inf,118.254
voltrax--100x-flye-medaka--10-polished.fasta,100,flye,medaka,10,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,inf,inf,inf,inf,inf,inf,inf,inf,81.363
voltrax--100x-flye-medaka--10-polished.fasta,100,flye,medaka,10,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,93.819
voltrax--100x-flye-medaka--10-polished.fasta,100,flye,medaka,10,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-flye-medaka--11-polished.fasta,100,flye,medaka,11,all,all,all,all,NA,18.24,37.66,18.95,39.15,28.05,inf,31.29,inf,NA
voltrax--100x-flye-medaka--11-polished.fasta,100,flye,medaka,11,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,17.87,31.56,18.59,31.89,27.69,inf,30.92,inf,73.082
voltrax--100x-flye-medaka--11-polished.fasta,100,flye,medaka,11,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,36.14,36.14,36.14,36.14,inf,inf,inf,inf,64.920
voltrax--100x-flye-medaka--11-polished.fasta,100,flye,medaka,11,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
voltrax--100x-flye-medaka--11-polished.fasta,100,flye,medaka,11,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-flye-medaka--12-polished.fasta,100,flye,medaka,12,all,all,all,all,NA,19.73,37.00,20.56,39.39,28.98,inf,32.28,inf,NA
voltrax--100x-flye-medaka--12-polished.fasta,100,flye,medaka,12,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,19.39,23.39,20.21,23.39,28.66,inf,31.93,inf,116.148
voltrax--100x-flye-medaka--12-polished.fasta,100,flye,medaka,12,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,37.99,37.99,inf,inf,37.99,37.99,inf,inf,99.306
voltrax--100x-flye-medaka--12-polished.fasta,100,flye,medaka,12,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,inf,inf,inf,inf,inf,inf,inf,inf,65.614
voltrax--100x-flye-medaka--12-polished.fasta,100,flye,medaka,12,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,99.265
voltrax--100x-flye--01.fasta,100,flye,NA,01,all,all,all,all,NA,18.69,38.02,19.30,inf,29.75,inf,31.43,inf,NA
voltrax--100x-flye--01.fasta,100,flye,NA,01,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,18.28,inf,18.87,inf,29.32,inf,31.19,inf,77.672
voltrax--100x-flye--01.fasta,100,flye,NA,01,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,38.02,38.02,inf,inf,inf,inf,38.02,38.02,100.000
voltrax--100x-flye--01.fasta,100,flye,NA,01,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,27.30,27.30,29.52,29.52,inf,inf,31.28,31.28,89.743
voltrax--100x-flye--01.fasta,100,flye,NA,01,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-flye--02.fasta,100,flye,NA,02,all,all,all,all,NA,13.51,inf,14.09,inf,24.58,inf,26.32,inf,NA
voltrax--100x-flye--02.fasta,100,flye,NA,02,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,11.55,26.40,12.11,26.40,22.62,inf,24.42,inf,17.105
voltrax--100x-flye--02.fasta,100,flye,NA,02,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,37.46,37.46,inf,inf,inf,inf,37.46,37.46,87.865
voltrax--100x-flye--02.fasta,100,flye,NA,02,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
voltrax--100x-flye--02.fasta,100,flye,NA,02,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
voltrax--100x-flye--03.fasta,100,flye,NA,03,all,all,all,all,NA,18.48,33.86,19.07,33.86,29.60,inf,31.47,inf,NA
voltrax--100x-flye--03.fasta,100,flye,NA,03,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,18.07,24.18,18.65,24.18,29.18,inf,31.05,inf,75.333
voltrax--100x-flye--03.fasta,100,flye,NA,03,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
voltrax--100x-flye--03.fasta,100,flye,NA,03,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,66.255
voltrax--100x-flye--03.fasta,100,flye,NA,03,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-flye--04.fasta,100,flye,NA,04,all,all,all,all,NA,19.06,inf,19.63,inf,30.39,inf,32.09,inf,NA
voltrax--100x-flye--04.fasta,100,flye,NA,04,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,18.66,26.16,19.23,26.19,29.99,inf,31.69,inf,95.205
voltrax--100x-flye--04.fasta,100,flye,NA,04,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,inf,inf,inf,inf,inf,inf,inf,inf,76.503
voltrax--100x-flye--04.fasta,100,flye,NA,04,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
voltrax--100x-flye--04.fasta,100,flye,NA,04,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
voltrax--100x-flye--05.fasta,100,flye,NA,05,all,all,all,all,NA,18.96,inf,19.52,inf,30.25,inf,32.07,inf,NA
voltrax--100x-flye--05.fasta,100,flye,NA,05,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,18.63,34.50,19.20,34.86,29.92,inf,31.75,inf,91.030
voltrax--100x-flye--05.fasta,100,flye,NA,05,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,inf,inf,inf,inf,inf,inf,inf,inf,63.248
voltrax--100x-flye--05.fasta,100,flye,NA,05,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,inf,inf,inf,inf,inf,inf,inf,inf,95.217
voltrax--100x-flye--05.fasta,100,flye,NA,05,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,56.799
voltrax--100x-flye--06.fasta,100,flye,NA,06,all,all,all,all,NA,18.55,inf,19.14,inf,29.63,inf,31.54,inf,NA
voltrax--100x-flye--06.fasta,100,flye,NA,06,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,18.02,26.72,18.61,26.74,29.09,inf,31.01,inf,74.534
