Replicate	10x1	10x2	10x3	10x4	10x5	10x6	10x7	10x8	10x9	10x10	10x11	10x12	20x1	20x2	20x3	20x4	20x5	20x6	20x7	20x8	20x9	20x10	20x11	20x12	30x1	30x2	30x3	30x4	30x5	30x6	30x7	30x8	30x9	30x10	30x11	30x12	50x1	50x2	50x3	50x4	50x5	50x6	50x7	50x8	50x9	50x10	50x11	50x12	100x1	100x2	100x3	100x4	100x5	100x6	100x7	100x8	100x9	100x10	100x11	100x12	200x1	200x2	200x3	200x4	200x5	200x6	200x7	200x8	200x9	200x10	200x11	200x12
number_of_reads	45673	45673	45673	45673	45673	45673	45673	45673	45673	45673	45673	45673	91345	91345	91345	91345	91345	91345	91345	91345	91345	91345	91345	91345	137018	137018	137018	137018	137018	137018	137018	137018	137018	137018	137018	137018	228363	228363	228363	228363	228363	228363	228363	228363	228363	228363	228363	228363	456726	456726	456726	456726	456726	456726	456726	456726	456726	456726	456726	456726	913452	913452	913452	913452	913452	913452	913452	913452	913452	913452	913452	913452
number_of_bases	418730304.0	419567885.0	418485093.0	419328012.0	422230261.0	418162913.0	417779142.0	417365995.0	419364877.0	418527441.0	420613790.0	421207370.0	835080236.0	839679911.0	843689867.0	838653367.0	842396147.0	839492883.0	835272904.0	834979730.0	836889760.0	840019776.0	837957587.0	842386885.0	1257057107.0	1260586323.0	1263017357.0	1259392018.0	1261948353.0	1261504359.0	1252022105.0	1253246986.0	1256528235.0	1255699125.0	1258128527.0	1265460599.0	2096268109.0	2101219218.0	2103039590.0	2096062845.0	2102821336.0	2101172926.0	2092666830.0	2096004030.0	2097456647.0	2096796638.0	2100107861.0	2108630708.0	4200949325.0	4205207000.0	4195608086.0	4197546921.0	4203317508.0	4191197465.0	4189418883.0	4193857498.0	4193867220.0	4200133626.0	4208904551.0	4205209384.0	8397290643.0	8398472371.0	8402046827.0	8390911319.0	8391515674.0	8387056189.0	8383014774.0	8393700494.0	8405609094.0	8409874635.0	8413717175.0	8412154159.0
median_read_length	6146.0	6180.0	6225.0	6167.0	6189.0	6176.0	6163.0	6119.0	6182.0	6181.0	6167.0	6159.0	6163.0	6195.0	6235.0	6188.0	6198.0	6195.0	6168.0	6144.0	6169.0	6189.0	6137.0	6173.0	6176.0	6200.5	6219.0	6178.0	6189.0	6198.0	6153.0	6155.0	6181.0	6162.5	6165.0	6192.5	6178.0	6188.0	6225.0	6164.0	6181.0	6195.0	6165.0	6174.0	6198.0	6185.0	6176.0	6206.0	6188.0	6206.0	6194.0	6168.0	6190.0	6176.0	6173.0	6184.0	6190.0	6186.0	6189.0	6193.0	6193.0	6190.0	6193.0	6176.0	6178.0	6179.0	6180.0	6184.0	6190.0	6191.0	6192.0	6198.0
mean_read_length	9168.0	9186.3	9162.6	9181.1	9244.6	9155.6	9147.2	9138.1	9181.9	9163.6	9209.2	9222.2	9142.0	9192.4	9236.3	9181.2	9222.1	9190.4	9144.2	9140.9	9161.9	9196.1	9173.5	9222.0	9174.4	9200.2	9217.9	9191.4	9210.1	9206.9	9137.6	9146.6	9170.5	9164.5	9182.2	9235.7	9179.5	9201.2	9209.2	9178.6	9208.2	9201.0	9163.8	9178.4	9184.7	9181.9	9196.4	9233.7	9198.0	9207.3	9186.3	9190.5	9203.1	9176.6	9172.7	9182.4	9182.5	9196.2	9215.4	9207.3	9192.9	9194.2	9198.1	9185.9	9186.6	9181.7	9177.3	9189.0	9202.0	9206.7	9210.9	9209.2
read_length_stdev	9457.6	9464.8	9370.8	9487.5	9474.3	9387.1	9353.2	9378.5	9451.7	9460.3	9435.7	9467.8	9358.2	9440.4	9489.6	9439.3	9493.8	9419.6	9358.5	9384.7	9418.2	9446.2	9452.9	9450.3	9395.8	9427.0	9468.9	9461.4	9496.4	9426.9	9337.7	9393.5	9413.2	9415.6	9438.6	9474.6	9417.3	9457.6	9455.2	9460.7	9495.9	9436.3	9386.4	9427.7	9393.6	9433.4	9458.6	9496.1	9446.1	9457.9	9448.4	9474.8	9458.6	9406.7	9411.5	9418.2	9409.6	9455.5	9482.2	9453.7	9448.6	9460.6	9458.0	9440.5	9436.8	9417.3	9410.0	9434.5	9448.8	9460.5	9468.1	9460.1
n50	14902.0	14976.0	14879.0	14993.0	15216.0	14941.0	14862.0	14991.0	15042.0	14929.0	15139.0	15277.0	14835.0	14984.0	15126.0	15018.0	15134.0	15019.0	14902.0	14957.0	14990.0	15011.0	15094.0	15179.0	14941.0	15007.0	15081.0	15041.0	15077.0	15058.0	14920.0	14937.0	14980.0	14962.0	15055.0	15182.0	14967.0	15026.0	15018.0	14986.0	15093.0	15039.0	14965.0	14991.0	14984.0	14997.0	15081.0	15134.0	15013.0	15036.0	14991.0	15036.0	15056.0	15001.0	14989.0	15000.0	14987.0	15053.0	15115.0	15057.0	15004.0	15016.0	15031.0	15020.0	15021.0	15007.0	14988.0	15022.0	15061.0	15069.0	15074.0	15056.0
mean_qual	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2	15.2
median_qual	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4
longest_read:1	105720	128644 	116157 	105599 	109817 	102815 	104748 	125973 	124674 	138355 	124014 	129862 	105720	160189 	116157 	121713 	118957 	125212 	104748 	128612 	124674 	138355 	219277 	129862 	120649	160189 	116157 	128995 	146940 	125212 	104748 	128612 	124674 	138355 	219277 	129862 	120649	169951 	116157 	128995 	146940 	130984 	121888 	130625 	124674 	138355 	219277 	141894 	169951	169951 	128995 	146940 	146940 	130984 	130625 	130625 	138355 	219277 	219277 	141894 	169951	169951 	146940 	146940 	146940 	130984 	138355 	219277 	219277 	219277 	219277 	169951 
longest_read:2	105361	120472 	112825 	103383 	108601 	98427 	101232 	111252 	109624 	125700 	121022 	109679 	105361	128644 	112825 	108373 	109817 	108901 	101232 	125973 	121301 	125700 	124014 	129478 	116545	128644 	112825 	121713 	139344 	121764 	101232 	125973 	121301 	125700 	124014 	129478 	116545	160189 	113673 	121713 	139344 	125212 	120314 	128612 	121301 	125700 	130129 	136126 	160189	160189 	121713 	139344 	139344 	125212 	128612 	128612 	125700 	138355 	136126 	136126 	160189	160189 	139344 	139344 	139344 	130625 	130625 	138355 	138355 	141894 	160189 	160189 
