Input-reads,Input-assembly,Output,Coverage,Assembler,Version,Polisher,User-time,System-time,Elapsed-time,Mean-memory-kb,Mean-resident-memory-kb,Max-resident-memory-kb,Date
Voltrax_20190924.10x.sample.01.fastq,NA,voltrax--10x-raven--01.fasta,10,raven,1.5.1,NA,976.20,7.46,82.24,0,0,1807988,20210708
Voltrax_20190924.10x.sample.02.fastq,NA,voltrax--10x-raven--02.fasta,10,raven,1.5.1,NA,986.66,10.30,89.54,0,0,1790788,20210708
Voltrax_20190924.10x.sample.03.fastq,NA,voltrax--10x-raven--03.fasta,10,raven,1.5.1,NA,981.64,8.58,84.57,0,0,1786840,20210708
Voltrax_20190924.10x.sample.04.fastq,NA,voltrax--10x-raven--04.fasta,10,raven,1.5.1,NA,983.90,5.65,84.90,0,0,1784840,20210708
Voltrax_20190924.10x.sample.05.fastq,NA,voltrax--10x-raven--05.fasta,10,raven,1.5.1,NA,1014.60,7.08,86.71,0,0,1796096,20210708
Voltrax_20190924.10x.sample.06.fastq,NA,voltrax--10x-raven--06.fasta,10,raven,1.5.1,NA,1008.12,9.90,87.61,0,0,1805800,20210708
Voltrax_20190924.10x.sample.07.fastq,NA,voltrax--10x-raven--07.fasta,10,raven,1.5.1,NA,992.11,8.13,90.35,0,0,1800680,20210708
Voltrax_20190924.10x.sample.08.fastq,NA,voltrax--10x-raven--08.fasta,10,raven,1.5.1,NA,986.75,7.57,85.92,0,0,1798472,20210708
Voltrax_20190924.10x.sample.09.fastq,NA,voltrax--10x-raven--09.fasta,10,raven,1.5.1,NA,987.28,7.38,84.09,0,0,1803056,20210708
Voltrax_20190924.10x.sample.10.fastq,NA,voltrax--10x-raven--10.fasta,10,raven,1.5.1,NA,973.23,6.60,80.15,0,0,1783968,20210708
Voltrax_20190924.10x.sample.11.fastq,NA,voltrax--10x-raven--11.fasta,10,raven,1.5.1,NA,1019.09,6.21,86.17,0,0,1802268,20210708
Voltrax_20190924.10x.sample.12.fastq,NA,voltrax--10x-raven--12.fasta,10,raven,1.5.1,NA,999.81,7.25,91.32,0,0,1797528,20210709
Voltrax_20190924.20x.sample.01.fastq,NA,voltrax--20x-raven--01.fasta,20,raven,1.5.1,NA,2048.45,7.33,164.40,0,0,2628436,20210709
Voltrax_20190924.20x.sample.02.fastq,NA,voltrax--20x-raven--02.fasta,20,raven,1.5.1,NA,2105.82,9.38,171.42,0,0,2604572,20210709
Voltrax_20190924.20x.sample.03.fastq,NA,voltrax--20x-raven--03.fasta,20,raven,1.5.1,NA,2137.82,10.15,170.97,0,0,2695180,20210709
Voltrax_20190924.20x.sample.04.fastq,NA,voltrax--20x-raven--04.fasta,20,raven,1.5.1,NA,2128.77,9.55,174.64,0,0,2536216,20210709
Voltrax_20190924.20x.sample.05.fastq,NA,voltrax--20x-raven--05.fasta,20,raven,1.5.1,NA,2085.13,12.79,173.17,0,0,2628716,20210709
Voltrax_20190924.20x.sample.06.fastq,NA,voltrax--20x-raven--06.fasta,20,raven,1.5.1,NA,2068.86,10.41,170.10,0,0,2657032,20210709
Voltrax_20190924.20x.sample.07.fastq,NA,voltrax--20x-raven--07.fasta,20,raven,1.5.1,NA,2101.95,8.26,170.87,0,0,2660004,20210709
Voltrax_20190924.20x.sample.08.fastq,NA,voltrax--20x-raven--08.fasta,20,raven,1.5.1,NA,2053.17,8.40,169.45,0,0,2674344,20210709
Voltrax_20190924.20x.sample.09.fastq,NA,voltrax--20x-raven--09.fasta,20,raven,1.5.1,NA,2118.91,9.53,170.38,0,0,2599020,20210709
Voltrax_20190924.20x.sample.10.fastq,NA,voltrax--20x-raven--10.fasta,20,raven,1.5.1,NA,2150.68,8.49,182.98,0,0,2564104,20210709
Voltrax_20190924.20x.sample.11.fastq,NA,voltrax--20x-raven--11.fasta,20,raven,1.5.1,NA,2114.81,9.38,171.44,0,0,2602848,20210709
Voltrax_20190924.20x.sample.12.fastq,NA,voltrax--20x-raven--12.fasta,20,raven,1.5.1,NA,2139.35,11.53,174.72,0,0,2613072,20210709
Voltrax_20190924.30x.sample.01.fastq,NA,voltrax--30x-raven--01.fasta,30,raven,1.5.1,NA,3218.73,9.00,246.64,0,0,3306132,20210709
Voltrax_20190924.30x.sample.02.fastq,NA,voltrax--30x-raven--02.fasta,30,raven,1.5.1,NA,3220.98,11.73,263.71,0,0,3303284,20210709
Voltrax_20190924.30x.sample.03.fastq,NA,voltrax--30x-raven--03.fasta,30,raven,1.5.1,NA,3227.94,11.31,256.46,0,0,3259268,20210709
Voltrax_20190924.30x.sample.04.fastq,NA,voltrax--30x-raven--04.fasta,30,raven,1.5.1,NA,3240.10,9.90,261.74,0,0,3266868,20210709
Voltrax_20190924.30x.sample.05.fastq,NA,voltrax--30x-raven--05.fasta,30,raven,1.5.1,NA,3227.81,15.83,255.16,0,0,3294976,20210709
Voltrax_20190924.30x.sample.06.fastq,NA,voltrax--30x-raven--06.fasta,30,raven,1.5.1,NA,3220.92,7.01,244.74,0,0,3318544,20210709
Voltrax_20190924.30x.sample.07.fastq,NA,voltrax--30x-raven--07.fasta,30,raven,1.5.1,NA,3155.35,9.99,242.54,0,0,3324308,20210709
Voltrax_20190924.30x.sample.08.fastq,NA,voltrax--30x-raven--08.fasta,30,raven,1.5.1,NA,3190.47,12.05,243.87,0,0,3293948,20210709
Voltrax_20190924.30x.sample.09.fastq,NA,voltrax--30x-raven--09.fasta,30,raven,1.5.1,NA,3314.39,8.94,251.40,0,0,3255080,20210709
Voltrax_20190924.30x.sample.10.fastq,NA,voltrax--30x-raven--10.fasta,30,raven,1.5.1,NA,3322.38,10.38,261.95,0,0,3259180,20210709
Voltrax_20190924.30x.sample.11.fastq,NA,voltrax--30x-raven--11.fasta,30,raven,1.5.1,NA,3331.73,9.25,265.21,0,0,3304928,20210709
Voltrax_20190924.30x.sample.12.fastq,NA,voltrax--30x-raven--12.fasta,30,raven,1.5.1,NA,3369.99,14.51,259.74,0,0,3270540,20210709
Voltrax_20190924.50x.sample.01.fastq,NA,voltrax--50x-raven--01.fasta,50,raven,1.5.1,NA,5872.72,14.73,433.88,0,0,5493336,20210709
Voltrax_20190924.50x.sample.02.fastq,NA,voltrax--50x-raven--02.fasta,50,raven,1.5.1,NA,5884.89,13.92,428.61,0,0,5478208,20210709
Voltrax_20190924.50x.sample.03.fastq,NA,voltrax--50x-raven--03.fasta,50,raven,1.5.1,NA,5875.22,13.62,448.41,0,0,5478096,20210709
Voltrax_20190924.50x.sample.04.fastq,NA,voltrax--50x-raven--04.fasta,50,raven,1.5.1,NA,5909.28,13.67,439.23,0,0,5464712,20210709
Voltrax_20190924.50x.sample.05.fastq,NA,voltrax--50x-raven--05.fasta,50,raven,1.5.1,NA,5897.90,13.22,434.43,0,0,5486976,20210709
Voltrax_20190924.50x.sample.06.fastq,NA,voltrax--50x-raven--06.fasta,50,raven,1.5.1,NA,5920.53,14.14,436.35,0,0,5479456,20210709
Voltrax_20190924.50x.sample.07.fastq,NA,voltrax--50x-raven--07.fasta,50,raven,1.5.1,NA,5815.98,14.10,438.18,0,0,5487268,20210709
Voltrax_20190924.50x.sample.08.fastq,NA,voltrax--50x-raven--08.fasta,50,raven,1.5.1,NA,5820.58,14.17,427.25,0,0,5477544,20210709
Voltrax_20190924.50x.sample.09.fastq,NA,voltrax--50x-raven--09.fasta,50,raven,1.5.1,NA,5850.60,14.66,442.77,0,0,5458648,20210709
Voltrax_20190924.50x.sample.10.fastq,NA,voltrax--50x-raven--10.fasta,50,raven,1.5.1,NA,5812.88,14.00,440.07,0,0,5476988,20210709
Voltrax_20190924.50x.sample.11.fastq,NA,voltrax--50x-raven--11.fasta,50,raven,1.5.1,NA,5880.33,11.81,429.44,0,0,5482924,20210709
Voltrax_20190924.50x.sample.12.fastq,NA,voltrax--50x-raven--12.fasta,50,raven,1.5.1,NA,5929.07,17.74,447.77,0,0,5492284,20210709
Voltrax_20190924.100x.sample.01.fastq,NA,voltrax--100x-raven--01.fasta,100,raven,1.5.1,NA,15281.26,28.26,1069.39,0,0,11189876,20210709
Voltrax_20190924.100x.sample.02.fastq,NA,voltrax--100x-raven--02.fasta,100,raven,1.5.1,NA,15230.26,31.60,1059.78,0,0,11183536,20210709
Voltrax_20190924.100x.sample.03.fastq,NA,voltrax--100x-raven--03.fasta,100,raven,1.5.1,NA,15317.90,27.96,1084.71,0,0,11176904,20210709
Voltrax_20190924.100x.sample.04.fastq,NA,voltrax--100x-raven--04.fasta,100,raven,1.5.1,NA,15272.69,26.53,1073.91,0,0,11165980,20210709
Voltrax_20190924.100x.sample.05.fastq,NA,voltrax--100x-raven--05.fasta,100,raven,1.5.1,NA,15278.22,25.78,1076.14,0,0,11182220,20210709
Voltrax_20190924.100x.sample.06.fastq,NA,voltrax--100x-raven--06.fasta,100,raven,1.5.1,NA,15176.04,26.65,1074.77,0,0,11166176,20210709
Voltrax_20190924.100x.sample.07.fastq,NA,voltrax--100x-raven--07.fasta,100,raven,1.5.1,NA,15157.01,27.00,1085.32,0,0,11177728,20210709
Voltrax_20190924.100x.sample.08.fastq,NA,voltrax--100x-raven--08.fasta,100,raven,1.5.1,NA,15281.39,27.40,1067.47,0,0,11143216,20210709
Voltrax_20190924.100x.sample.09.fastq,NA,voltrax--100x-raven--09.fasta,100,raven,1.5.1,NA,15293.11,26.63,1091.16,0,0,11146952,20210709
Voltrax_20190924.100x.sample.10.fastq,NA,voltrax--100x-raven--10.fasta,100,raven,1.5.1,NA,15270.86,25.70,1064.65,0,0,11180100,20210709
Voltrax_20190924.100x.sample.11.fastq,NA,voltrax--100x-raven--11.fasta,100,raven,1.5.1,NA,15329.68,25.68,1079.04,0,0,11204316,20210709
Voltrax_20190924.100x.sample.12.fastq,NA,voltrax--100x-raven--12.fasta,100,raven,1.5.1,NA,15241.05,28.74,1089.48,0,0,11186984,20210709
Voltrax_20190924.200x.sample.01.fastq,NA,voltrax--200x-raven--01.fasta,200,raven,1.5.1,NA,44191.45,79.77,2987.17,0,0,15572776,20210709
Voltrax_20190924.200x.sample.02.fastq,NA,voltrax--200x-raven--02.fasta,200,raven,1.5.1,NA,44423.95,79.62,3030.46,0,0,15607140,20210709
Voltrax_20190924.200x.sample.03.fastq,NA,voltrax--200x-raven--03.fasta,200,raven,1.5.1,NA,46001.20,91.86,3104.94,0,0,15584736,20210709
Voltrax_20190924.200x.sample.04.fastq,NA,voltrax--200x-raven--04.fasta,200,raven,1.5.1,NA,44145.88,82.10,2989.58,0,0,15607456,20210709
Voltrax_20190924.200x.sample.05.fastq,NA,voltrax--200x-raven--05.fasta,200,raven,1.5.1,NA,44216.14,79.80,3000.59,0,0,15682692,20210709
Voltrax_20190924.200x.sample.06.fastq,NA,voltrax--200x-raven--06.fasta,200,raven,1.5.1,NA,45343.47,69.38,3072.88,0,0,15626544,20210709
Voltrax_20190924.200x.sample.07.fastq,NA,voltrax--200x-raven--07.fasta,200,raven,1.5.1,NA,43893.28,92.48,3001.55,0,0,15523364,20210709
Voltrax_20190924.200x.sample.08.fastq,NA,voltrax--200x-raven--08.fasta,200,raven,1.5.1,NA,44382.55,89.58,3027.75,0,0,15592508,20210709
Voltrax_20190924.200x.sample.09.fastq,NA,voltrax--200x-raven--09.fasta,200,raven,1.5.1,NA,44590.20,84.18,3058.85,0,0,15585100,20210709
Voltrax_20190924.200x.sample.10.fastq,NA,voltrax--200x-raven--10.fasta,200,raven,1.5.1,NA,44909.07,81.92,3070.01,0,0,15690192,20210709
Voltrax_20190924.200x.sample.11.fastq,NA,voltrax--200x-raven--11.fasta,200,raven,1.5.1,NA,44597.35,84.94,3050.49,0,0,15621008,20210709
Voltrax_20190924.200x.sample.12.fastq,NA,voltrax--200x-raven--12.fasta,200,raven,1.5.1,NA,44580.47,86.82,3055.48,0,0,15604908,20210709
Voltrax_20190924.10x.sample.01.fastq,NA,voltrax--10x-redbean--01.fasta,10,redbean,2.5,NA,881.43,6.37,63.82,0,0,1913172,20210709
Voltrax_20190924.10x.sample.01.fastq,NA,voltrax--10x-redbean-wtpoa--01.fasta,10,redbean,2.5,wtpoa,176.43,1.11,13.49,0,0,2956436,20210709
