Input,Coverage,Assembler,Polisher,Id,Gene-number,Isolet,Organism,Genome-Type,metaQuast-version,# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,Reference length,GC (%),Reference GC (%),N50,NG50,N90,NG90,L50,LG50,L90,LG90,# misassemblies,# misassembled contigs,Misassembled contigs length,# local misassemblies,# scaffold gap ext. mis.,# scaffold gap loc. mis.,# unaligned mis. contigs,# unaligned contigs,Unaligned length,Genome fraction (%),Duplication ratio,# N's per 100 kbp,# mismatches per 100 kbp,# indels per 100 kbp,Largest alignment,Total aligned length,NA50,NGA50,NA90,NGA90,LA50,LGA50,LA90,LGA90
voltrax--100x-flye--01.fasta,100,flye,NA,01,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045608,4045608,4045608,4045608,4045608,1,4045608,4045608,4045677,43.94,43.94,4045608,4045608,4045608,4045608,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.49,3.78,4045608,4045608,4045608,4045608,4045608,4045608,1,1,1,1
voltrax--100x-flye--02.fasta,100,flye,NA,02,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045608,4045608,4045608,4045608,4045608,1,4045608,4045608,4045677,43.94,43.94,4045608,4045608,4045608,4045608,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.49,4.28,4045608,4045608,4045608,4045608,4045608,4045608,1,1,1,1
voltrax--100x-flye--03.fasta,100,flye,NA,03,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045617,4045617,4045617,4045617,4045617,1,4045617,4045617,4045677,43.94,43.94,4045617,4045617,4045617,4045617,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.54,3.91,4045617,4045617,4045617,4045617,4045617,4045617,1,1,1,1
voltrax--100x-flye--04.fasta,100,flye,NA,04,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045622,4045622,4045622,4045622,4045622,1,4045622,4045622,4045677,43.94,43.94,4045622,4045622,4045622,4045622,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.54,4.13,4045622,4045622,4045622,4045622,4045622,4045622,1,1,1,1
voltrax--100x-flye--05.fasta,100,flye,NA,05,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045616,4045616,4045616,4045616,4045616,1,4045616,4045616,4045677,43.94,43.94,4045616,4045616,4045616,4045616,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.54,4.13,4045616,4045616,4045616,4045616,4045616,4045616,1,1,1,1
voltrax--100x-flye--06.fasta,100,flye,NA,06,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045615,4045615,4045615,4045615,4045615,1,4045615,4045615,4045677,43.94,43.94,4045615,4045615,4045615,4045615,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.54,4.00,4045615,4045615,4045615,4045615,4045615,4045615,1,1,1,1
voltrax--100x-flye--07.fasta,100,flye,NA,07,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045585,4045585,4045585,4045585,4045585,1,4045585,4045585,4045677,43.94,43.94,4045585,4045585,4045585,4045585,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.49,3.78,4045585,4045585,4045585,4045585,4045585,4045585,1,1,1,1
voltrax--100x-flye--08.fasta,100,flye,NA,08,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045592,4045592,4045592,4045592,4045592,1,4045592,4045592,4045677,43.94,43.94,4045592,4045592,4045592,4045592,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.47,4.13,4045592,4045592,4045592,4045592,4045592,4045592,1,1,1,1
voltrax--100x-flye--09.fasta,100,flye,NA,09,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045638,4045638,4045638,4045638,4045638,1,4045638,4045638,4045677,43.94,43.94,4045638,4045638,4045638,4045638,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.49,3.98,4045638,4045638,4045638,4045638,4045638,4045638,1,1,1,1
voltrax--100x-flye--10.fasta,100,flye,NA,10,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045611,4045611,4045611,4045611,4045611,1,4045611,4045611,4045677,43.94,43.94,4045611,4045611,4045611,4045611,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.47,4.08,4045611,4045611,4045611,4045611,4045611,4045611,1,1,1,1
